Problem Name	02cards	04vegetables	06desserts	08mississippi	09fastfood	11sports	13chess
%(q2-target-h1)%	"To calculate the probability of %(q2_type)%, you need to count the total number of %(q2_typePlural)% that you see in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of %(q2_typePlural)% that you see in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of %(q2_typePlural)% that you see in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of %(q2_typePlural)% that you see in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of %(q2_typePlural)% that you see in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of %(q2_typePlural)% that you see in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of %(q2_typePlural)% that you see in question 2."
%(q2-target-h2)%	How many %(q2_typePlural)% do you see there?	How many %(q2_typePlural)% do you see there?	How many %(q2_typePlural)% do you see there?	How many %(q2_typePlural)% do you see there?	How many %(q2_typePlural)% do you see there?	How many %(q2_typePlural)% do you see there?	How many %(q2_typePlural)% do you see there?
%(q3-target-h1)%	"To calculate the probability of %(q3_type)%, you need to count the total number of %(q3_typePlural)% that you see in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of %(q3_typePlural)% that you see in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of %(q3_typePlural)% that you see in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of %(q3_typePlural)% that you see in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of %(q3_typePlural)% that you see in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of %(q3_typePlural)% that you see in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of %(q3_typePlural)% that you see in question 3."
%(q3-target-h2)%	How many %(q3_typePlural)% do you see there?	How many %(q3_typePlural)% do you see there?	How many %(q3_typePlural)% do you see there?	How many %(q3_typePlural)% do you see there?	How many %(q3_typePlural)% do you see there?	How many %(q3_typePlural)% do you see there?	How many %(q3_typePlural)% do you see there?
%(q4-target-h1)%	"To calculate the probability of %(q4_type)%, you need to count the total number of %(q4_typePlural)% that you see in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of %(q4_typePlural)% that you see in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of %(q4_typePlural)% that you see in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of %(q4_typePlural)% that you see in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of %(q4_typePlural)% that you see in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of %(q4_typePlural)% that you see in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of %(q4_typePlural)% that you see in question 4."
%(q4-target-h2)%	How many %(q4_typePlural)% do you see there?	How many %(q4_typePlural)% do you see there?	How many %(q4_typePlural)% do you see there?	How many %(q4_typePlural)% do you see there?	How many %(q4_typePlural)% do you see there?	How many %(q4_typePlural)% do you see there?	How many %(q4_typePlural)% do you see there?
%(q5-target-h1)%	"To calculate the probability of %(q5_type)%, you need to count the total number of %(q5_typePlural)% that you see in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of %(q5_typePlural)% that you see in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of %(q5_typePlural)% that you see in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of %(q5_typePlural)% that you see in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of %(q5_typePlural)% that you see in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of %(q5_typePlural)% that you see in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of %(q5_typePlural)% that you see in question 5."
%(q5-target-h2)%	How many %(q5_typePlural)% do you see there?	How many %(q5_typePlural)% do you see there?	How many %(q5_typePlural)% do you see there?	How many %(q5_typePlural)% do you see there?	How many %(q5_typePlural)% do you see there?	How many %(q5_typePlural)% do you see there?	How many %(q5_typePlural)% do you see there?
%(q6-target-h1)%	"To calculate the probability of %(q6_type)%, you need to count the total number of %(q6_typePlural)% that you see in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of %(q6_typePlural)% that you see in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of %(q6_typePlural)% that you see in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of %(q6_typePlural)% that you see in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of %(q6_typePlural)% that you see in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of %(q6_typePlural)% that you see in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of %(q6_typePlural)% that you see in question 6."
%(q6-target-h2)%	How many %(q6_typePlural)% do you see there?	How many %(q6_typePlural)% do you see there?	How many %(q6_typePlural)% do you see there?	How many %(q6_typePlural)% do you see there?	How many %(q6_typePlural)% do you see there?	How many %(q6_typePlural)% do you see there?	How many %(q6_typePlural)% do you see there?
%(q7-target-h1)%	"To calculate the probability of %(q7_type)%, you need to count the total number of %(q7_typePlural)% that you see in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of %(q7_typePlural)% that you see in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of %(q7_typePlural)% that you see in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of %(q7_typePlural)% that you see in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of %(q7_typePlural)% that you see in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of %(q7_typePlural)% that you see in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of %(q7_typePlural)% that you see in question 7."
%(q7-target-h2)%	How many %(q7_typePlural)% do you see there?	How many %(q7_typePlural)% do you see there?	How many %(q7_typePlural)% do you see there?	How many %(q7_typePlural)% do you see there?	How many %(q7_typePlural)% do you see there?	How many %(q7_typePlural)% do you see there?	How many %(q7_typePlural)% do you see there?
							
%(q1-total-h1)%	"To calculate the probability of %(q1_type)%, you need to count the total number of items in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of items in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of items in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of items in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of items in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of items in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of items in question 1."
%(q1-total-h2)%	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?
%(q2-total-h1)%	"To calculate the probability of %(q2_type)%, you need to count the total number of items in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of items in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of items in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of items in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of items in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of items in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of items in question 2."
%(q2-total-h2)%	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?
%(q3-total-h1)%	"To calculate the probability of %(q3_type)%, you need to count the total number of items in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of items in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of items in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of items in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of items in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of items in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of items in question 3."
%(q3-total-h2)%	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?
%(q4-total-h1)%	"To calculate the probability of %(q4_type)%, you need to count the total number of items in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of items in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of items in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of items in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of items in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of items in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of items in question 4."
%(q4-total-h2)%	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?
%(q5-total-h1)%	"To calculate the probability of %(q5_type)%, you need to count the total number of items in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of items in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of items in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of items in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of items in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of items in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of items in question 5."
%(q5-total-h2)%	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?
%(q6-total-h1)%	"To calculate the probability of %(q6_type)%, you need to count the total number of items in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of items in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of items in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of items in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of items in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of items in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of items in question 6."
%(q6-total-h2)%	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?
%(q7-total-h1)%	"To calculate the probability of %(q7_type)%, you need to count the total number of items in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of items in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of items in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of items in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of items in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of items in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of items in question 7."
%(q7-total-h2)%	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?
							
%(q1-unredu-h1)%	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.
%(q1-unredu-h2)%	Make a fraction with the number of %(q1_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q1_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q1_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q1_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q1_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q1_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q1_typePlural)% as the numerator and the total number of %(allType)% as the denominator.
%(q2-unredu-h1)%	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.
%(q2-unredu-h2)%	Make a fraction with the number of %(q2_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q2_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q2_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q2_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q2_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q2_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q2_typePlural)% as the numerator and the total number of %(allType)% as the denominator.
%(q3-unredu-h1)%	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.
%(q3-unredu-h2)%	Make a fraction with the number of %(q3_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q3_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q3_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q3_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q3_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q3_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q3_typePlural)% as the numerator and the total number of %(allType)% as the denominator.
%(q4-unredu-h1)%	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.
%(q4-unredu-h2)%	Make a fraction with the number of %(q4_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q4_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q4_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q4_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q4_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q4_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q4_typePlural)% as the numerator and the total number of %(allType)% as the denominator.
%(q5-unredu-h1)%	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.
%(q5-unredu-h2)%	Make a fraction with the number of %(q5_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q5_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q5_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q5_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q5_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q5_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q5_typePlural)% as the numerator and the total number of %(allType)% as the denominator.
%(q6-unredu-h1)%	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.
%(q6-unredu-h2)%	Make a fraction with the number of %(q6_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q6_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q6_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q6_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q6_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q6_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q6_typePlural)% as the numerator and the total number of %(allType)% as the denominator.
%(q7-unredu-h1)%	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.
%(q7-unredu-h2)%	Make a fraction with the number of %(q7_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q7_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q7_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q7_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q7_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q7_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q7_typePlural)% as the numerator and the total number of %(allType)% as the denominator.
							
%(q1-gcf-h1)%	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."
%(q1-gcf-h2)%	What is the largest number that both %(q1_items)% and %(q1_total_items)% can be divided by?	What is the largest number that both %(q1_items)% and %(q1_total_items)% can be divided by?	What is the largest number that both %(q1_items)% and %(q1_total_items)% can be divided by?	What is the largest number that both %(q1_items)% and %(q1_total_items)% can be divided by?	What is the largest number that both %(q1_items)% and %(q1_total_items)% can be divided by?	What is the largest number that both %(q1_items)% and %(q1_total_items)% can be divided by?	What is the largest number that both %(q1_items)% and %(q1_total_items)% can be divided by?
