Problem Name	htmlfaded1	htmlfaded2	htmlfaded3	htmlProblem1	htmlProblem2	htmlProblem3	htmlProblem4	htmlProblem5	htmlProblem6	htmlProblem7
%(definition4)%	the number of brownies each guest receives	the total amount of money that you spend	the amount of money Raymond gets paid	the amount he contributed to stage the show	the amount of money Lee's gift certificate is worth	the total cost of rent for the apartment	the band's yearly earnings	the amount of money left after repaying her parents	the amount she receives as a bonus	the number of points he has right now
%(definition5)%	the number of brownies Julia must bake	the total cost of the shirts you order	the amount he has in savings right now	the portion of the ticket money he receives	the number of rolls of film Lee buys	the cost of parking	the amount the manager makes from the band's earnings	the amount Liz receives for her allowance	the amount she receives for each episode	the number of matches he wins the rest of the season
%(definition6)%	the number of brownies already frozen	the cost of shipping and handling	the amount he'll have in savings after he's paid	the cost of a show ticket	the total cost of all the rolls of film Lee wants to buy	the initial deposit required for the apartment	the portion of the band's earnings the manager receives	the portion of Liz's allowance that she saves	the total amount she makes all season	his rank at the end of the season
%(definition7)%	the number of sugar cookies Julia bakes	the number of shirts you buy	the portion of his paycheck that goes into savings	the number of tickets sold	the amount of money Lee has to spend for the film	the number of months you live in the apartment	the fixed yearly salary the manager receives	the cost of the boots	the number of episodes in which she appears	the number of points he has at the end of the season
										
%(given1_loc)%	exp1	def1	def1	exp1	def1	exp1	exp1	def1	def1	exp1
%(given2_loc)%	exp2	exp2	def2	exp2	exp2	exp2	exp2	exp2	def2	exp2
%(given3_loc)%	exp3	def3	def3	exp3	def3	exp3	exp3	def3	def3	exp3
%(given4_loc)%	exp4	def4	exp4	exp4	def4	exp4	exp4	def4	def4	exp4
%(given5_loc)%	exp5	def5	def5	exp5	def5	exp5	exp5	def5	def5	exp5
%(given6_loc)%	exp6	def6	def6	exp6	def6	exp6	exp6	def6	exp6	exp6
%(given1_value)%	%(expression1)%	%(definition6)%	%(definition1)%	%(expression1)%	%(definition4)%	%(expression1)%	%(expression1)%	%(definition1)%	%(definition4)%	%(expression1)%
%(given2_value)%	%(expression2)%	%(expression2)%	%(definition4)%	%(expression2)%	%(expression2)%	%(expression2)%	%(expression2)%	%(expression2)%	%(definition6)%	%(expression2)%
%(given3_value)%	%(expression3)%	%(definition2)%	%(definition7)%	%(expression3)%	%(definition6)%	%(expression3)%	%(expression3)%	%(definition2)%	%(definition2)%	%(expression3)%
%(given4_value)%	%(expression4)%	%(definition5)%	%(expression4)%	%(expression4)%	%(definition5)%	%(expression4)%	%(expression4)%	%(definition5)%	%(definition7)%	%(expression4)%
%(given5_value)%	%(expression5)%	%(definition7)%	%(definition5)%	%(expression5)%	%(definition2)%	%(expression5)%	%(expression5)%	%(definition6)%	%(definition5)%	%(expression5)%
%(given6_value)%	%(expression6)%	%(definition4)%	%(definition6)%	%(expression6)%	%(definition7)%	%(expression6)%	%(expression6)%	%(definition4)%	%(expression6)%	%(expression6)%
%(given_action1)%	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateTextField
%(given_action2)%	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateTextField
%(given_action3)%	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateTextField
%(given_action4)%	UpdateTextField	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateTextField
%(given_action5)%	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateTextField
%(given_action6)%	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateTextField	UpdateTextField
										
%(selection1)%	def1	exp1	exp1	def1	exp1	def1	def1	exp1	exp1	def1
%(input1)%	"equals(""%(definition6)%"",input)"	"expressionMatches(""%(expression1)%"",input)"	"expressionMatches(""%(expression1)%"",input)"	"equals(""%(definition4)%"",input)"	"expressionMatches(""%(expression1)%"",input)"	"equals(""%(definition6)%"",input)"	"equals(""%(definition5)%"",input)"	"expressionMatches(""%(expression1)%"",input)"	"expressionMatches(""%(expression1)%"",input)"	"equals(""%(definition4)%"",input)"
%(selection2)%	def2	def2	exp2	def2	def2	def2	def2	def2	exp2	def2
%(input2)%	"equals(""%(definition5)%"",input)"	"equals(""%(definition4)%"",input)"	"expressionMatches(""%(expression2)%"",input)"	"equals(""%(definition2)%"",input)"	"equals(""%(definition7)%"",input)"	"equals(""%(definition4)%"",input)"	"equals(""%(definition4)%"",input)"	"equals(""%(definition4)%"",input)"	"expressionMatches(""%(expression2)%"",input)"	"equals(""%(definition7)%"",input)"
%(selection3)%	def3	exp3	exp3	def3	exp3	def3	def3	exp3	exp3	def3
%(input3)%	"equals(""%(definition3)%"",input)"	"expressionMatches(""%(expression3)%"",input)"	"expressionMatches(""%(expression3)%"",input)"	"equals(""%(definition5)%"",input)"	"expressionMatches(""%(expression3)%"",input)"	"equals(""%(definition2)%"",input)"	"equals(""%(definition7)%"",input)"	"expressionMatches(""%(expression3)%"",input)"	"expressionMatches(""%(expression3)%"",input)"	"equals(""%(definition2)%"",input)"
%(selection4)%	def4	exp4	def4	def4	exp4	def4	def4	exp4	exp4	def4
%(input4)%	"equals(""%(definition2)%"",input)"	"expressionMatches(""%(expression4)%"",input)"	"equals(""%(definition6)%"",input)"	"equals(""%(definition1)%"",input)"	"expressionMatches(""%(expression4)%"",input)"	"equals(""%(definition7)%"",input)"	"equals(""%(definition3)%"",input)"	"expressionMatches(""%(expression4)%"",input)"	"expressionMatches(""%(expression4)%"",input)"	"equals(""%(definition5)%"",input)"
%(selection5)%	def5	exp5	exp5	def5	exp5	def5	def5	exp5	exp5	def5
%(input5)%	"equals(""%(definition4)%"",input)"	"expressionMatches(""%(expression5)%"",input)"	"expressionMatches(""%(expression5)%"",input)"	"equals(""%(definition3)%"",input)"	"expressionMatches(""%(expression5)%"",input)"	"equals(""%(definition3)%"",input)"	"equals(""%(definition6)%"",input)"	"expressionMatches(""%(expression5)%"",input)"	"expressionMatches(""%(expression5)%"",input)"	"equals(""%(definition1)%"",input)"
%(selection6)%	def6	exp6	exp6	def6	exp6	def6	def6	exp6	def6	def6
%(input6)%	"equals(""%(definition5)%"",input)"	"expressionMatches(""%(expression6)%"",input)"	"expressionMatches(""%(expression6)%"",input)"	"equals(""%(definition1)%"",input)"	"expressionMatches(""%(expression6)%"",input)"	"equals(""%(definition2)%"",input)"	"equals(""%(definition3)%"",input)"	"expressionMatches(""%(expression6)%"",input)"	"equals(""%(definition6)%"",input)"	"equals(""%(definition7)%"",input)"
										
%(action1)%	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateComboBox
%(action2)%	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateComboBox
%(action3)%	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateComboBox
%(action4)%	UpdateComboBox	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateComboBox
%(action5)%	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateComboBox
%(action6)%	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateComboBox	UpdateComboBox
										
%(skill_input1)%	Define-Constant-Term	Identify-Constant-Term	Identify-Coefficient-and-Variable-Expression	Define-Constant-Term	Identify-Constant-Term	Define-Constant-Term	Define-Product-Coefficient-and-Variable	Identify-Constant-Term	Identify-Constant-Term	Define-Constant-Term
%(skill_input2)%	Define-Sum-Two-Terms	Define-Sum-Two-Terms	Identify-Variable	Define-Variable	Define-Sum-Two-Terms	Define-Product-Coefficient-and-Variable	Define-Variable	Define-Sum-Two-Terms	Identify-Sum-Two-Terms	Define-Sum-Two-Terms
%(skill_input3)%	Define-Product-Coefficient-and-Variable	Identify-Coefficient	Identify-Coefficient	Define-Coefficient	Identify-Coefficient-and-Variable-Expression	Define-Sum-Two-Terms	Define-Constant-Term	Identify-Coefficient-and-Variable-Expression	Identify-Coefficient-and-Variable-Expression	Define-Product-Coefficient-and-Variable
%(skill_input4)%	Define-Variable	Identify-Coefficient-and-Variable-Expression	Define-Variable	Define-Sum-Two-Terms	Identify-Variable	Define-Variable	Define-Sum-Two-Terms	Identify-Variable	Identify-Variable	Define-Variable
%(skill_input5)%	Define-Coefficient	Identify-Variable	Identify-Constant-Term	Define-Product-Coefficient-and-Variable	Identify-Coefficient	Define-Coefficient	Define-Coefficient	Identify-Coefficient	Identify-Coefficient	Define-Coefficient
%(skill_input6)%	Define-Variable	Identify-Variable	Identify-Sum-Two-Terms	Define-Variable	Identify-Variable	Define-Variable	Define-Variable	Identify-Variable	Define-Variable	Define-Variable
										
%(input1_hint1)%	You need to choose the definition from the menu that best defines the expression given.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	You need to choose the definition from the menu that best defines the expression given.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	You need to choose the definition from the menu that best defines the expression given.	You need to choose the definition from the menu that best defines the expression given.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	You need to choose the definition from the menu that best defines the expression given.
%(input1_hint2)%	Find the constant '%(expression1)%' in the problem statement. What does the constant represent?	The given definition describes a constant in the problem. What value given in the problem represents %(definition6)%?	The given definition describes the product of a coefficient and a variable. What term in the equation represents %(definition1)%?	Find the constant '%(expression1)%' in the problem statement. What does the constant represent?	The given definition describes a constant in the problem. What value given in the problem represents %(definition4)%?	Find the constant '%(expression1)%' in the problem statement. What does the constant represent?	Find the product of a coefficient and variable in the equation. What does this expression represent?	The given definition describes a constant in the problem. What value given in the problem represents %(definition1)%?	The given definition describes a constant in the problem. What value given in the problem represents %(definition4)%?	Find the constant '%(expression1)%' in the problem statement. What does the constant represent?
%(input1_hint3)%	Try choosing '%(definition6)%' from the list of definitions.	Try entering '%(expression1)%' in the Expression column.	Try entering '%(expression1)%' in the Expression column.	Try choosing '%(definition4)%' from the list of definitions.	Try entering '%(expression1)%' in the Expression column.	Try choosing '%(definition6)%' from the list of definitions.	Try choosing '%(definition5)%' from the list of definitions.	Try entering '%(expression1)%' in the Expression column.	Try entering '%(expression1)%' in the Expression column.	Try choosing '%(definition4)%' from the list of definitions.
%(input2_hint1)%	You need to choose the definition from the menu that best defines the expression given.	You need to choose the definition from the menu that best defines the expression given.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	You need to choose the definition from the menu that best defines the expression given.	You need to choose the definition from the menu that best defines the expression given.	You need to choose the definition from the menu that best defines the expression given.	You need to choose the definition from the menu that best defines the expression given.	You need to choose the definition from the menu that best defines the expression given.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	You need to choose the definition from the menu that best defines the expression given.
%(input2_hint2)%	Find the sum of two terms in the equation. What does this expression represent?	Find the sum of two terms in the equation. What does this expression represent?	The given definition describes a variable term in the problem. Which variable in the problem represents %(definition4)%?	A variable represents a quantity whose value is not given in the problem statement. Look at the equation and the problem statement to determine what %(expression2)% represents.	Find the difference of the two terms in the equation. What does this expression represent?	Find the product of a coefficient and variable in the equation. What does this expression represent?	A variable represents a quantity whose value is not given in the problem statement. Look at the equation and the problem statement to determine what %(expression2)% represents.	Find the difference of the two terms in the equation. What does this expression represent?	The given definition describes the sum of two terms. What term(s) in the equation represents %(definition6)%?	Find the sum of two terms in the equation. What does this expression represent?
%(input2_hint3)%	Try choosing '%(definition5)%' from the list of definitions.	Try choosing '%(definition4)%' from the list of definitions.	Try entering '%(expression2)%' in the Expression column.	Try choosing '%(definition2)%' from the list of definitions.	Try choosing '%(definition7)%' from the list of definitions.	Try choosing '%(definition4)%' from the list of definitions.	Try choosing '%(definition4)%' from the list of definitions.	Try choosing '%(definition4)%' from the list of definitions.	Try entering '%(expression2)%' in the Expression column.	Try choosing '%(definition7)%' from the list of definitions.
%(input3_hint1)%	You need to choose the definition from the menu that best defines the expression given.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	You need to choose the definition from the menu that best defines the expression given.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	You need to choose the definition from the menu that best defines the expression given.	You need to choose the definition from the menu that best defines the expression given.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	You need to choose the definition from the menu that best defines the expression given.
%(input3_hint2)%	Find the product of a coefficient and variable in the equation. What does this expression represent?	The given definition describes a coefficient in the problem. What value given in the problem represents %(definition2)%?	The given definition describes a coefficient in the problem. What value given in the problem represents %(definition7)%?	Find the rate of change '%(expression3)%' in the problem statement. What does the rate of change represent?	The given definition describes the product of a coefficient and a variable. What term in the equation represents %(definition6)%?	Find the sum of two terms in the equation. What does this expression represent?	Find the constant '%(expression3)%' in the problem statement. What does the constant represent?	The given definition describes the product of a coefficient and a variable. What term in the equation represents %(definition2)%?	The given definition describes the product of a coefficient and a variable. What term in the equation represents %(definition2)%?	Find the product of a coefficient and variable in the equation. What does this expression represent?
%(input3_hint3)%	Try choosing '%(definition)%' from the list of definitions.	Try entering '%(expression3)%' in the Expression column.	Try entering '%(expression3)%' in the Expression column.	Try choosing '%(definition5)%' from the list of definitions.	Try entering '%(expression3)%' in the Expression column.	Try choosing '%(definition2)%' from the list of definitions.	Try choosing '%(definition7)%' from the list of definitions.	Try entering '%(expression3)%' in the Expression column.	Try entering '%(expression3)%' in the Expression column.	Try choosing '%(definition2)%' from the list of definitions.
%(input4_hint1)%	You need to choose the definition from the menu that best defines the expression given.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	You need to choose the definition from the menu that best defines the expression given.	You need to choose the definition from the menu that best defines the expression given.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	You need to choose the definition from the menu that best defines the expression given.	You need to choose the definition from the menu that best defines the expression given.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	You need to choose the definition from the menu that best defines the expression given.
%(input4_hint2)%	A variable represents a quantity whose value is not given in the problem statement. Look at the equation and the problem statement to determine what %(expression4)% represents.	The given definition describes the product of a coefficient and a variable. What term in the equation represents %(definition5)%?	A variable represents a quantity whose value is not given in the problem statement. Look at the equation and the problem statement to determine what %(expression4)% represents.	Find the sum of two terms in the equation. What does this expression represent?	The given definition describes a variable term in the problem. Which variable in the problem represents %(definition5)%?	A variable represents a quantity whose value is not given in the problem statement. Look at the equation and the problem statement to determine what %(expression4)% represents.	Find the sum of two terms in the equation. What does this expression represent?	The given definition describes a variable term in the problem. Which variable in the problem represents %(definition5)%?	The given definition describes a variable term in the problem. Which variable in the problem represents %(definition7)%?	A variable represents a quantity whose value is not given in the problem statement. Look at the equation and the problem statement to determine what %(expression4)% represents.
%(input4_hint3)%	Try choosing '%(definition6)%' from the list of definitions.	Try entering '%(expression4)%' in the Expression column.	Try choosing '%(definition6)%' from the list of definitions.	Try choosing '%(definition1)%' from the list of definitions.	Try entering '%(expression4)%' in the Expression column.	Try choosing '%(definition7)%' from the list of definitions.	Try choosing '%(definition3)%' from the list of definitions.	Try entering '%(expression4)%' in the Expression column.	Try entering '%(expression4)%' in the Expression column.	Try choosing '%(definition5)%' from the list of definitions.
%(input5_hint1)%	You need to choose the definition from the menu that best defines the expression given.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	You need to choose the definition from the menu that best defines the expression given.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	You need to choose the definition from the menu that best defines the expression given.	You need to choose the definition from the menu that best defines the expression given.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	You need to choose the definition from the menu that best defines the expression given.
%(input5_hint2)%	Find the rate of change '%(expression5)%' in the problem statement. What does the rate of change represent?	The given definition describes a variable term in the problem. Which variable in the problem represents %(definition7)%?	The given definition describes a constant in the problem. What value given in the problem represents %(definition5)%?	Find the product of a coefficient and variable in the equation. What does this expression represent?	The given definition describes a coefficient in the problem. What value given in the problem represents %(definition2)%?	Find the rate of change '%(expression5)%' in the problem statement. What does the rate of change represent?	Find the rate of change '%(expression5)%' in the problem statement. What does the rate of change represent?	The given definition describes a coefficient in the problem. What value given in the problem represents %(definition6)%?	The given definition describes a coefficient in the problem. What value given in the problem represents %(definition5)%?	Find the rate of change '%(expression5)%' in the problem statement. What does the rate of change represent?
%(input5_hint3)%	Try choosing '%(definition5)%' from the list of definitions.	Try entering '%(expression5)%' in the Expression column.	Try entering '%(expression5)%' in the Expression column.	Try choosing '%(definition3)%' from the list of definitions.	Try entering '%(expression5)%' in the Expression column.	Try choosing '%(definition3)%' from the list of definitions.	Try choosing '%(definition6)%' from the list of definitions.	Try entering '%(expression5)%' in the Expression column.	Try entering '%(expression5)%' in the Expression column.	Try choosing '%(definition1)%' from the list of definitions.
%(input6_hint1)%	You need to choose the definition from the menu that best defines the expression given.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	You need to choose the definition from the menu that best defines the expression given.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	You need to choose the definition from the menu that best defines the expression given.	You need to choose the definition from the menu that best defines the expression given.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation %(problem_function)%. What part of the equation does the given definition describe?	You need to choose the definition from the menu that best defines the expression given.	You need to choose the definition from the menu that best defines the expression given.
%(input6_hint2)%	A variable represents a quantity whose value is not given in the problem statement. Look at the equation and the problem statement to determine what %(expression6)% represents.	The given definition describes a variable term in the problem. Which variable in the problem represents %(definition4)%?	The given definition describes the sum of two terms. What term(s) in the equation represents %(definition6)%?	A variable represents a quantity whose value is not given in the problem statement. Look at the equation and the problem statement to determine what %(expression6)% represents.	The given definition describes a variable term in the problem. Which variable in the problem represents %(definition7)%?	A variable represents a quantity whose value is not given in the problem statement. Look at the equation and the problem statement to determine what %(expression6)% represents.	A variable represents a quantity whose value is not given in the problem statement. Look at the equation and the problem statement to determine what %(expression4)% represents.	The given definition describes a variable term in the problem. Which variable in the problem represents %(definition4)%?	A variable represents a quantity whose value is not given in the problem statement. Look at the equation and the problem statement to determine what %(expression6)% represents.	A variable represents a quantity whose value is not given in the problem statement. Look at the equation and the problem statement to determine what %(expression6)% represents.
%(input6_hint3)%	Try choosing '%(definition5)%' from the list of definitions.	Try entering '%(expression6)%' in the Expression column.	Try entering '%(expression6)%' in the Expression column.	Try choosing '%(definition1)%' from the list of definitions.	Try entering '%(expression6)%' in the Expression column.	Try choosing '%(definition2)%' from the list of definitions.	Try choosing '%(definition3)%' from the list of definitions.	Try entering '%(expression6)%' in the Expression column.	Try choosing '%(definition6)%' from the list of definitions.	Try choosing '%(definition7)%' from the list of definitions.
										
										
										
										
										
										
										
%(faded1)%	%(definition6)%	%(expression1)%	%(expression1)%							
%(faded2)%	%(definition5)%	%(definition4)%								
%(faded3)%	%(definition3)%	%(expression3)%								
%(faded4)%	%(definition2)%									
%(faded5)%	%(definition4)%									
