Problem Name	Problem 1	Problem 2	Problem 3	Problem 4	Problem 5	Problem 6	Problem 7
%(enter-val2)%	Please enter '%(constant-2)%' in the highlighted field.	Please enter '%(constant-2)%' in the highlighted field.	Please enter '%(constant-2)%' in the highlighted field.	Please enter '%(constant-2)%' in the highlighted field.	Please enter '%(constant-2)%' in the highlighted field.	Please enter '%(constant-2)%' in the highlighted field.	Please enter '%(constant-2)%' in the highlighted field.
%(factor)%	"Now you want the factor from the first term that is some power of the variable y. Remember, factors can include exponents."	"Now you want the factor from the first term that is some power of the variable y. Remember, factors can include exponents."	"Now you want the factor from the first term that is some power of the variable y. Remember, factors can include exponents."	"Now you want the factor from the first term that is some power of the variable y. Remember, factors can include exponents."	"Now you want the factor from the first term that is some power of the variable y. Remember, factors can include exponents."	"Now you want the factor from the first term that is some power of the variable y. Remember, factors can include exponents."	"Now you want the factor from the first term that is some power of the variable y. Remember, factors can include exponents."
%(find-var)%	"Try to find the variable y, possibly with an exponent, inside the first set of parentheses."	"Try to find the variable y, possibly with an exponent, inside the first set of parentheses."	"Try to find the variable y, possibly with an exponent, inside the first set of parentheses."	"Try to find the variable y, possibly with an exponent, inside the first set of parentheses."	"Try to find the variable y, possibly with an exponent, inside the first set of parentheses."	"Try to find the variable y, possibly with an exponent, inside the first set of parentheses."	"Try to find the variable y, possibly with an exponent, inside the first set of parentheses."
%(enter-val3)%	Please enter '%(y-1)%' in the highlighted field.	Please enter '%(y-1)%' in the highlighted field.	Please enter '%(y-1)%' in the highlighted field.	Please enter '%(y-1)%' in the highlighted field.	Please enter '%(y-1)%' in the highlighted field.	Please enter '%(y-1)%' in the highlighted field.	Please enter '%(y-1)%' in the highlighted field.
%(factor2)%	"Now you want the factor from the second term that is some power of the variable y. Remember, factors can include exponents."	"Now you want the factor from the second term that is some power of the variable y. Remember, factors can include exponents."	"Now you want the factor from the second term that is some power of the variable y. Remember, factors can include exponents."	"Now you want the factor from the second term that is some power of the variable y. Remember, factors can include exponents."	"Now you want the factor from the second term that is some power of the variable y. Remember, factors can include exponents."	"Now you want the factor from the second term that is some power of the variable y. Remember, factors can include exponents."	"Now you want the factor from the second term that is some power of the variable y. Remember, factors can include exponents."
%(find-var)%	"Try to find the variable y, possibly with an exponent, %(inSecondTermParens)%. %(missingY)%"	"Try to find the variable y, possibly with an exponent, %(inSecondTermParens)%. %(missingY)%"	"Try to find the variable y, possibly with an exponent, %(inSecondTermParens)%. %(missingY)%"	"Try to find the variable y, possibly with an exponent, %(inSecondTermParens)%. %(missingY)%"	"Try to find the variable y, possibly with an exponent, %(inSecondTermParens)%. %(missingY)%"	"Try to find the variable y, possibly with an exponent, %(inSecondTermParens)%. %(missingY)%"	"Try to find the variable y, possibly with an exponent, %(inSecondTermParens)%. %(missingY)%"
%(enter-val4)%	Please enter '%(y-2)%' in the highlighted field.	Please enter '%(y-2)%' in the highlighted field.	Please enter '%(y-2)%' in the highlighted field.	Please enter '%(y-2)%' in the highlighted field.	Please enter '%(y-2)%' in the highlighted field.	Please enter '%(y-2)%' in the highlighted field.	Please enter '%(y-2)%' in the highlighted field.
%(simplify)%	You have %(constant-1)%*%(constant-2)%. Simplify this expression.	You have %(constant-1)%*%(constant-2)%. Simplify this expression.	You have %(constant-1)%*%(constant-2)%. Simplify this expression.	You have %(constant-1)%*%(constant-2)%. Simplify this expression.	You have %(constant-1)%*%(constant-2)%. Simplify this expression.	You have %(constant-1)%*%(constant-2)%. Simplify this expression.	You have %(constant-1)%*%(constant-2)%. Simplify this expression.
%(simplify2)%	"To simplify, multiply the numbers together."	"To simplify, multiply the numbers together."	"To simplify, multiply the numbers together."	"To simplify, multiply the numbers together."	"To simplify, multiply the numbers together."	"To simplify, multiply the numbers together."	"To simplify, multiply the numbers together."
%(mult-consts)%	Multiplying %(constant-1)%*%(constant-2)% yields %(constant-f)%.	Multiplying %(constant-1)%*%(constant-2)% yields %(constant-f)%.	Multiplying %(constant-1)%*%(constant-2)% yields %(constant-f)%.	Multiplying %(constant-1)%*%(constant-2)% yields %(constant-f)%.	Multiplying %(constant-1)%*%(constant-2)% yields %(constant-f)%.	Multiplying %(constant-1)%*%(constant-2)% yields %(constant-f)%.	Multiplying %(constant-1)%*%(constant-2)% yields %(constant-f)%.
%(factor3)%	"Now you want the factor from the second term that is some power of the variable x. Remember, factors can include exponents."	"Now you want the factor from the second term that is some power of the variable x. Remember, factors can include exponents."	"Now you want the factor from the second term that is some power of the variable x. Remember, factors can include exponents."	"Now you want the factor from the second term that is some power of the variable x. Remember, factors can include exponents."	"Now you want the factor from the second term that is some power of the variable x. Remember, factors can include exponents."	"Now you want the factor from the second term that is some power of the variable x. Remember, factors can include exponents."	"Now you want the factor from the second term that is some power of the variable x. Remember, factors can include exponents."
%(find-x)%	"Try to find the variable x, possibly with an exponent, %(inSecondTermParens)%. %(missingX)%"	"Try to find the variable x, possibly with an exponent, %(inSecondTermParens)%. %(missingX)%"	"Try to find the variable x, possibly with an exponent, %(inSecondTermParens)%. %(missingX)%"	"Try to find the variable x, possibly with an exponent, %(inSecondTermParens)%. %(missingX)%"	"Try to find the variable x, possibly with an exponent, %(inSecondTermParens)%. %(missingX)%"	"Try to find the variable x, possibly with an exponent, %(inSecondTermParens)%. %(missingX)%"	"Try to find the variable x, possibly with an exponent, %(inSecondTermParens)%. %(missingX)%"
%(enter-val4)%	Please enter '%(x-2)%' in the highlighted field.	Please enter '%(x-2)%' in the highlighted field.	Please enter '%(x-2)%' in the highlighted field.	Please enter '%(x-2)%' in the highlighted field.	Please enter '%(x-2)%' in the highlighted field.	Please enter '%(x-2)%' in the highlighted field.	Please enter '%(x-2)%' in the highlighted field.
%(factor4)%	"Now you want the factor from the first term that is some power of the variable x. Remember, factors can include exponents."	"Now you want the factor from the first term that is some power of the variable x. Remember, factors can include exponents."	"Now you want the factor from the first term that is some power of the variable x. Remember, factors can include exponents."	"Now you want the factor from the first term that is some power of the variable x. Remember, factors can include exponents."	"Now you want the factor from the first term that is some power of the variable x. Remember, factors can include exponents."	"Now you want the factor from the first term that is some power of the variable x. Remember, factors can include exponents."	"Now you want the factor from the first term that is some power of the variable x. Remember, factors can include exponents."
%(another-var)%	"Try to find the variable x, possibly with an exponent, inside the first set of parentheses. %(missingX)%"	"Try to find the variable x, possibly with an exponent, inside the first set of parentheses. %(missingX)%"	"Try to find the variable x, possibly with an exponent, inside the first set of parentheses. %(missingX)%"	"Try to find the variable x, possibly with an exponent, inside the first set of parentheses. %(missingX)%"	"Try to find the variable x, possibly with an exponent, inside the first set of parentheses. %(missingX)%"	"Try to find the variable x, possibly with an exponent, inside the first set of parentheses. %(missingX)%"	"Try to find the variable x, possibly with an exponent, inside the first set of parentheses. %(missingX)%"
%(enter-val5)%	Please enter '%(x-1)%' in the highlighted field.	Please enter '%(x-1)%' in the highlighted field.	Please enter '%(x-1)%' in the highlighted field.	Please enter '%(x-1)%' in the highlighted field.	Please enter '%(x-1)%' in the highlighted field.	Please enter '%(x-1)%' in the highlighted field.	Please enter '%(x-1)%' in the highlighted field.
%(mult-var)%	%(x-1)% and %(x-2)% can be multiplied by adding the exponent of each factor.	%(x-1)% and %(x-2)% can be multiplied by adding the exponent of each factor.	%(x-1)% and %(x-2)% can be multiplied by adding the exponent of each factor.	%(x-1)% and %(x-2)% can be multiplied by adding the exponent of each factor.	%(x-1)% and %(x-2)% can be multiplied by adding the exponent of each factor.	%(x-1)% and %(x-2)% can be multiplied by adding the exponent of each factor.	%(x-1)% and %(x-2)% can be multiplied by adding the exponent of each factor.
%(exps)%	The exponents in %(x-1)% and %(x-2)% are %(xexp-1)% and %(xexp-2)%.	The exponents in %(x-1)% and %(x-2)% are %(xexp-1)% and %(xexp-2)%.	The exponents in %(x-1)% and %(x-2)% are %(xexp-1)% and %(xexp-2)%.	The exponents in %(x-1)% and %(x-2)% are %(xexp-1)% and %(xexp-2)%.	The exponents in %(x-1)% and %(x-2)% are %(xexp-1)% and %(xexp-2)%.	The exponents in %(x-1)% and %(x-2)% are %(xexp-1)% and %(xexp-2)%.	The exponents in %(x-1)% and %(x-2)% are %(xexp-1)% and %(xexp-2)%.
%(mult-result)%	Multiplying %(x-1)% and %(x-2)% by adding the exponents results in %(x-f)%.	Multiplying %(x-1)% and %(x-2)% by adding the exponents results in %(x-f)%.	Multiplying %(x-1)% and %(x-2)% by adding the exponents results in %(x-f)%.	Multiplying %(x-1)% and %(x-2)% by adding the exponents results in %(x-f)%.	Multiplying %(x-1)% and %(x-2)% by adding the exponents results in %(x-f)%.	Multiplying %(x-1)% and %(x-2)% by adding the exponents results in %(x-f)%.	Multiplying %(x-1)% and %(x-2)% by adding the exponents results in %(x-f)%.
%(mult-exps)%	%(y-1)% and %(y-2)% can be multiplied by adding the exponent of each factor.	%(y-1)% and %(y-2)% can be multiplied by adding the exponent of each factor.	%(y-1)% and %(y-2)% can be multiplied by adding the exponent of each factor.	%(y-1)% and %(y-2)% can be multiplied by adding the exponent of each factor.	%(y-1)% and %(y-2)% can be multiplied by adding the exponent of each factor.	%(y-1)% and %(y-2)% can be multiplied by adding the exponent of each factor.	%(y-1)% and %(y-2)% can be multiplied by adding the exponent of each factor.
%(exponentsY)%	The exponents in %(y-1)% and %(y-2)% are %(yexp-1)% and %(yexp-2)%.	The exponents in %(y-1)% and %(y-2)% are %(yexp-1)% and %(yexp-2)%.	The exponents in %(y-1)% and %(y-2)% are %(yexp-1)% and %(yexp-2)%.	The exponents in %(y-1)% and %(y-2)% are %(yexp-1)% and %(yexp-2)%.	The exponents in %(y-1)% and %(y-2)% are %(yexp-1)% and %(yexp-2)%.	The exponents in %(y-1)% and %(y-2)% are %(yexp-1)% and %(yexp-2)%.	The exponents in %(y-1)% and %(y-2)% are %(yexp-1)% and %(yexp-2)%.
%(mult-result2)%	Multiplying %(y-1)% and %(y-2)% by adding the exponents results in %(y-f)%.	Multiplying %(y-1)% and %(y-2)% by adding the exponents results in %(y-f)%.	Multiplying %(y-1)% and %(y-2)% by adding the exponents results in %(y-f)%.	Multiplying %(y-1)% and %(y-2)% by adding the exponents results in %(y-f)%.	Multiplying %(y-1)% and %(y-2)% by adding the exponents results in %(y-f)%.	Multiplying %(y-1)% and %(y-2)% by adding the exponents results in %(y-f)%.	Multiplying %(y-1)% and %(y-2)% by adding the exponents results in %(y-f)%.
%(combo)%	Combine the simplified terms above into one expression.	Combine the simplified terms above into one expression.	Combine the simplified terms above into one expression.	Combine the simplified terms above into one expression.	Combine the simplified terms above into one expression.	Combine the simplified terms above into one expression.	Combine the simplified terms above into one expression.
%(type-result)%	Type %(final-expressionh)% in the Result field. Simplify the expression if necessary.	Type %(final-expressionh)% in the Result field. Simplify the expression if necessary.	Type %(final-expressionh)% in the Result field. Simplify the expression if necessary.	Type %(final-expressionh)% in the Result field. Simplify the expression if necessary.	Type %(final-expressionh)% in the Result field. Simplify the expression if necessary.	Type %(final-expressionh)% in the Result field. Simplify the expression if necessary.	Type %(final-expressionh)% in the Result field. Simplify the expression if necessary.
%(second-coeff)%	"The expression contains two terms (in parentheses). Each term has a coefficient (a number) and one or two variable factors (x or y, possibly with an exponent). You want the coefficient from the second term."	"The expression contains two terms (in parentheses). Each term has a coefficient (a number) and one or two variable factors (x or y, possibly with an exponent). You want the coefficient from the second term."	"The expression contains two terms (in parentheses). Each term has a coefficient (a number) and one or two variable factors (x or y, possibly with an exponent). You want the coefficient from the second term."	"The expression contains two terms (in parentheses). Each term has a coefficient (a number) and one or two variable factors (x or y, possibly with an exponent). You want the coefficient from the second term."	"The expression contains two terms (in parentheses). Each term has a coefficient (a number) and one or two variable factors (x or y, possibly with an exponent). You want the coefficient from the second term."	"The expression contains two terms (in parentheses). Each term has a coefficient (a number) and one or two variable factors (x or y, possibly with an exponent). You want the coefficient from the second term."	"The expression contains two terms (in parentheses). Each term has a coefficient (a number) and one or two variable factors (x or y, possibly with an exponent). You want the coefficient from the second term."
%(first-coeff)%	"Now you want to look at the first term (first set of parentheses) in the expression. You want the coefficient (a number, not a variable or exponent) from the first term."	"Now you want to look at the first term (first set of parentheses) in the expression. You want the coefficient (a number, not a variable or exponent) from the first term."	"Now you want to look at the first term (first set of parentheses) in the expression. You want the coefficient (a number, not a variable or exponent) from the first term."	"Now you want to look at the first term (first set of parentheses) in the expression. You want the coefficient (a number, not a variable or exponent) from the first term."	"Now you want to look at the first term (first set of parentheses) in the expression. You want the coefficient (a number, not a variable or exponent) from the first term."	"Now you want to look at the first term (first set of parentheses) in the expression. You want the coefficient (a number, not a variable or exponent) from the first term."	"Now you want to look at the first term (first set of parentheses) in the expression. You want the coefficient (a number, not a variable or exponent) from the first term."
