Problem Name	02cards	04vegetables	06sports	08desserts
%(q1-target-h2)%	How many %(q1_typePlural)% do you see there?	How many %(q1_typePlural)% do you see there?	How many %(q1_typePlural)% do you see there?	How many %(q1_typePlural)% do you see there?
%(q2-target-h1)%	"To calculate the probability of %(q2_type)%, you need to count the total number of %(q2_typePlural)% that you see in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of %(q2_typePlural)% that you see in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of %(q2_typePlural)% that you see in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of %(q2_typePlural)% that you see in question 2."
%(q2-target-h2)%	How many %(q2_typePlural)% do you see there?	How many %(q2_typePlural)% do you see there?	How many %(q2_typePlural)% do you see there?	How many %(q2_typePlural)% do you see there?
%(q3-target-h1)%	"To calculate the probability of %(q3_type)%, you need to count the total number of %(q3_typePlural)% that you see in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of %(q3_typePlural)% that you see in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of %(q3_typePlural)% that you see in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of %(q3_typePlural)% that you see in question 3."
%(q3-target-h2)%	How many %(q3_typePlural)% do you see there?	How many %(q3_typePlural)% do you see there?	How many %(q3_typePlural)% do you see there?	How many %(q3_typePlural)% do you see there?
%(q4-target-h1)%	"To calculate the probability of %(q4_type)%, you need to count the total number of %(q4_typePlural)% that you see in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of %(q4_typePlural)% that you see in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of %(q4_typePlural)% that you see in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of %(q4_typePlural)% that you see in question 4."
%(q4-target-h2)%	How many %(q4_typePlural)% do you see there?	How many %(q4_typePlural)% do you see there?	How many %(q4_typePlural)% do you see there?	How many %(q4_typePlural)% do you see there?
%(q5-target-h1)%	"To calculate the probability of %(q5_type)%, you need to count the total number of %(q5_typePlural)% that you see in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of %(q5_typePlural)% that you see in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of %(q5_typePlural)% that you see in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of %(q5_typePlural)% that you see in question 5."
%(q5-target-h2)%	How many %(q5_typePlural)% do you see there?	How many %(q5_typePlural)% do you see there?	How many %(q5_typePlural)% do you see there?	How many %(q5_typePlural)% do you see there?
%(q6-target-h1)%	"To calculate the probability of %(q6_type)%, you need to count the total number of %(q6_typePlural)% that you see in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of %(q6_typePlural)% that you see in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of %(q6_typePlural)% that you see in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of %(q6_typePlural)% that you see in question 6."
%(q6-target-h2)%	How many %(q6_typePlural)% do you see there?	How many %(q6_typePlural)% do you see there?	How many %(q6_typePlural)% do you see there?	How many %(q6_typePlural)% do you see there?
%(q7-target-h1)%	"To calculate the probability of %(q7_type)%, you need to count the total number of %(q7_typePlural)% that you see in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of %(q7_typePlural)% that you see in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of %(q7_typePlural)% that you see in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of %(q7_typePlural)% that you see in question 7."
%(q7-target-h2)%	How many %(q7_typePlural)% do you see there?	How many %(q7_typePlural)% do you see there?	How many %(q7_typePlural)% do you see there?	How many %(q7_typePlural)% do you see there?
				
%(q1-total-h1)%	"To calculate the probability of %(q1_type)%, you need to count the total number of items in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of items in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of items in question 1."	"To calculate the probability of %(q1_type)%, you need to count the total number of items in question 1."
%(q1-total-h2)%	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?
%(q2-total-h1)%	"To calculate the probability of %(q2_type)%, you need to count the total number of items in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of items in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of items in question 2."	"To calculate the probability of %(q2_type)%, you need to count the total number of items in question 2."
%(q2-total-h2)%	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?
%(q3-total-h1)%	"To calculate the probability of %(q3_type)%, you need to count the total number of items in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of items in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of items in question 3."	"To calculate the probability of %(q3_type)%, you need to count the total number of items in question 3."
%(q3-total-h2)%	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?
%(q4-total-h1)%	"To calculate the probability of %(q4_type)%, you need to count the total number of items in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of items in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of items in question 4."	"To calculate the probability of %(q4_type)%, you need to count the total number of items in question 4."
%(q4-total-h2)%	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?
%(q5-total-h1)%	"To calculate the probability of %(q5_type)%, you need to count the total number of items in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of items in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of items in question 5."	"To calculate the probability of %(q5_type)%, you need to count the total number of items in question 5."
%(q5-total-h2)%	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?
%(q6-total-h1)%	"To calculate the probability of %(q6_type)%, you need to count the total number of items in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of items in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of items in question 6."	"To calculate the probability of %(q6_type)%, you need to count the total number of items in question 6."
%(q6-total-h2)%	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?
%(q7-total-h1)%	"To calculate the probability of %(q7_type)%, you need to count the total number of items in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of items in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of items in question 7."	"To calculate the probability of %(q7_type)%, you need to count the total number of items in question 7."
%(q7-total-h2)%	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?	How many %(allType)% do you see there?
				
%(q1-unredu-h1)%	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.
%(q1-unredu-h2)%	Make a fraction with the number of %(q1_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q1_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q1_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q1_typePlural)% as the numerator and the total number of %(allType)% as the denominator.
%(q2-unredu-h1)%	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.
%(q2-unredu-h2)%	Make a fraction with the number of %(q2_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q2_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q2_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q2_typePlural)% as the numerator and the total number of %(allType)% as the denominator.
%(q3-unredu-h1)%	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.
%(q3-unredu-h2)%	Make a fraction with the number of %(q3_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q3_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q3_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q3_typePlural)% as the numerator and the total number of %(allType)% as the denominator.
%(q4-unredu-h1)%	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.
%(q4-unredu-h2)%	Make a fraction with the number of %(q4_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q4_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q4_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q4_typePlural)% as the numerator and the total number of %(allType)% as the denominator.
%(q5-unredu-h1)%	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.
%(q5-unredu-h2)%	Make a fraction with the number of %(q5_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q5_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q5_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q5_typePlural)% as the numerator and the total number of %(allType)% as the denominator.
%(q6-unredu-h1)%	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.
%(q6-unredu-h2)%	Make a fraction with the number of %(q6_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q6_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q6_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q6_typePlural)% as the numerator and the total number of %(allType)% as the denominator.
%(q7-unredu-h1)%	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.	The probability is the unreduced fraction found by putting the number of target items in the numerator and the total number of items in the denominator.
%(q7-unredu-h2)%	Make a fraction with the number of %(q7_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q7_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q7_typePlural)% as the numerator and the total number of %(allType)% as the denominator.	Make a fraction with the number of %(q7_typePlural)% as the numerator and the total number of %(allType)% as the denominator.
				
%(q1-gcf-h1)%	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."
%(q1-gcf-h2)%	What is the largest number that both %(q1_items)% and %(q1_total_items)% can be divided by?	What is the largest number that both %(q1_items)% and %(q1_total_items)% can be divided by?	What is the largest number that both %(q1_items)% and %(q1_total_items)% can be divided by?	What is the largest number that both %(q1_items)% and %(q1_total_items)% can be divided by?
%(q2-gcf-h1)%	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."
%(q2-gcf-h2)%	What is the largest number that both %(q2_items)% and %(q2_total_items)% can be divided by?	What is the largest number that both %(q2_items)% and %(q2_total_items)% can be divided by?	What is the largest number that both %(q2_items)% and %(q2_total_items)% can be divided by?	What is the largest number that both %(q2_items)% and %(q2_total_items)% can be divided by?
%(q3-gcf-h1)%	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."
%(q3-gcf-h2)%	What is the largest number that both %(q3_items)% and %(q3_total_items)% can be divided by?	What is the largest number that both %(q3_items)% and %(q3_total_items)% can be divided by?	What is the largest number that both %(q3_items)% and %(q3_total_items)% can be divided by?	What is the largest number that both %(q3_items)% and %(q3_total_items)% can be divided by?
%(q4-gcf-h1)%	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."
%(q4-gcf-h2)%	What is the largest number that both %(q4_items)% and %(q4_total_items)% can be divided by?	What is the largest number that both %(q4_items)% and %(q4_total_items)% can be divided by?	What is the largest number that both %(q4_items)% and %(q4_total_items)% can be divided by?	What is the largest number that both %(q4_items)% and %(q4_total_items)% can be divided by?
%(q5-gcf-h1)%	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."
%(q5-gcf-h2)%	What is the largest number that both %(q5_items)% and %(q5_total_items)% can be divided by?	What is the largest number that both %(q5_items)% and %(q5_total_items)% can be divided by?	What is the largest number that both %(q5_items)% and %(q5_total_items)% can be divided by?	What is the largest number that both %(q5_items)% and %(q5_total_items)% can be divided by?
%(q6-gcf-h1)%	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."
%(q6-gcf-h2)%	What is the largest number that both %(q6_items)% and %(q6_total_items)% can be divided by?	What is the largest number that both %(q6_items)% and %(q6_total_items)% can be divided by?	What is the largest number that both %(q6_items)% and %(q6_total_items)% can be divided by?	What is the largest number that both %(q6_items)% and %(q6_total_items)% can be divided by?
%(q7-gcf-h1)%	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."
%(q7-gcf-h2)%	What is the largest number that both %(q7_items)% and %(q7_total_items)% can be divided by?	What is the largest number that both %(q7_items)% and %(q7_total_items)% can be divided by?	What is the largest number that both %(q7_items)% and %(q7_total_items)% can be divided by?	What is the largest number that both %(q7_items)% and %(q7_total_items)% can be divided by?
				
%(q1-redu-h1)%	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.
%(q1-redu-h2)%	"How would you simplify the probability, %(q1_items)%/%(q1_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q1_items)%/%(q1_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q1_items)%/%(q1_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q1_items)%/%(q1_total_items)% using the greatest common factor you found?"
%(q1-redu-h3)%	"Simplify the probability by dividing the numerator and the denominator by %(q1_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q1_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q1_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q1_gcf)%, the greatest common factor you found."
%(q2-redu-h1)%	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.
%(q2-redu-h2)%	"How would you simplify the probability, %(q2_items)%/%(q2_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q2_items)%/%(q2_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q2_items)%/%(q2_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q2_items)%/%(q2_total_items)% using the greatest common factor you found?"
%(q2-redu-h3)%	"Simplify the probability by dividing the numerator and the denominator by %(q2_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q2_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q2_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q2_gcf)%, the greatest common factor you found."
%(q3-redu-h1)%	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.
%(q3-redu-h2)%	"How would you simplify the probability, %(q3_items)%/%(q3_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q3_items)%/%(q3_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q3_items)%/%(q3_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q3_items)%/%(q3_total_items)% using the greatest common factor you found?"
%(q3-redu-h3)%	"Simplify the probability by dividing the numerator and the denominator by %(q3_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q3_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q3_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q3_gcf)%, the greatest common factor you found."
%(q4-redu-h1)%	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.
%(q4-redu-h2)%	"How would you simplify the probability, %(q4_items)%/%(q4_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q4_items)%/%(q4_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q4_items)%/%(q4_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q4_items)%/%(q4_total_items)% using the greatest common factor you found?"
%(q4-redu-h3)%	"Simplify the probability by dividing the numerator and the denominator by %(q4_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q4_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q4_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q4_gcf)%, the greatest common factor you found."
%(q5-redu-h1)%	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.
%(q5-redu-h2)%	"How would you simplify the probability, %(q5_items)%/%(q5_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q5_items)%/%(q5_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q5_items)%/%(q5_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q5_items)%/%(q5_total_items)% using the greatest common factor you found?"
%(q5-redu-h3)%	"Simplify the probability by dividing the numerator and the denominator by %(q5_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q5_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q5_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q5_gcf)%, the greatest common factor you found."
%(q6-redu-h1)%	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.
%(q6-redu-h2)%	"How would you simplify the probability, %(q6_items)%/%(q6_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q6_items)%/%(q6_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q6_items)%/%(q6_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q6_items)%/%(q6_total_items)% using the greatest common factor you found?"
%(q6-redu-h3)%	"Simplify the probability by dividing the numerator and the denominator by %(q6_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q6_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q6_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q6_gcf)%, the greatest common factor you found."
%(q7-redu-h1)%	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.
%(q7-redu-h2)%	"How would you simplify the probability, %(q7_items)%/%(q7_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q7_items)%/%(q7_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q7_items)%/%(q7_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q7_items)%/%(q7_total_items)% using the greatest common factor you found?"
%(q7-redu-h3)%	"Simplify the probability by dividing the numerator and the denominator by %(q7_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q7_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q7_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q7_gcf)%, the greatest common factor you found."
