Problem Name	1	2	3	4	5	6	7	8	9	10	0intro
%(gcf3)%	2	1	1	2	2	5	5	12	2	2	5
%(gcf4)%	1	2	2	5	5	5	5	6	1	1	1
											
%(tot1)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%
%(tot2)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%
%(tot3)%	%(tot)%	%(tot)%	%(tot)%	10	%(tot)%	%(tot)%	25	%(tot)%	10	%(tot)%	%(tot)%
%(tot4)%	%(tot)%	%(tot)%	4	%(tot)%	%(tot)%	%(tot)%	25	24	5	5	%(tot)%
%(bugTot1)%	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
%(bugTot2)%	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
%(bugTot3)%	n/a	n/a	n/a	25	n/a	n/a	50	n/a	20	n/a	n/a
%(bugTot4)%	n/a	n/a	5	n/a	n/a	n/a	50	60	20	10	n/a
%(bugMsg1)%	-	-	-	-	-	-	-	-	-	-	-
%(bugMsg2)%	-	-	-	-	-	-	-	-	-	-	-
%(bugMsg3)%	-	-	-	"That's too much! %(bugTot3)% is the number of ALL shapes in the image. Read problem 3 again to find out what your ""total"" should be!"	-	-	"That's too much! %(bugTot3)% is the number of ALL shapes in the image. Read problem 3 again to find out what your ""total"" should be!"	-	"That's too much! %(bugTot3)% is the number of ALL shapes in the image. Read problem 3 again to find out what your ""total"" should be!"	-	-
%(bugMsg4)%	-	-	"That's too much! %(bugTot4)% is the number of ALL shapes in the image. Read problem 4 again to find out what your ""total"" should be!"	-	-	-	"That's too much! %(bugTot4)% is the number of ALL shapes in the image. Read problem 4 again to find out what your ""total"" should be!"	"That's too much! %(bugTot4)% is the number of ALL shapes in the image. Read problem 4 again to find out what your ""total"" should be!"	"That's too much! %(bugTot4)% is the number of ALL shapes in the image. Read problem 3 again to find out what your ""total"" should be!"	"That's too much! %(bugTot4)% is the number of ALL shapes in the image. Read problem 4 again to find out what your ""total"" should be!"	-
											
%(pictureORgraph)%	in the picture	in the picture	in the picture	in the picture	using the information on the graph	in the picture	in the picture	in the picture	in the picture	using the information on the graph	in the picture
%(shapeType1)%	shapes	shapes	shapes	shapes	pieces	shapes	shapes	shapes	shapes	pieces	shapes
%(shapeType2)%	shapes	shapes	shapes	shapes	pieces	shapes	shapes	shapes	shapes	pieces	shapes
%(shapeType3)%	shapes	shapes	shapes	purple shapes	pieces	shapes	circle shapes	shapes	green shapes	pieces	shapes
%(shapeType4)%	shapes	shapes	blue shapes	shapes	pieces	shapes	square shapes	square shapes	red shapes	pieces of the right half	shapes
											
%(q1-target-h1)%	"To work through question 1, you must first find the number of %(shapeType1)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeType1)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeType1)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeType1)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeType1)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeType1)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeType1)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeType1)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeType1)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeType1)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeType1)% that are %(type1)%."
%(q1-target-h2)%	How many %(shapeType1)% are %(type1)%?	How many %(shapeType1)% are %(type1)%?	How many %(shapeType1)% are %(type1)%?	How many %(shapeType1)% are %(type1)%?	How many %(shapeType1)% are %(type1)%?	How many %(shapeType1)% are %(type1)%?	How many %(shapeType1)% are %(type1)%?	How many %(shapeType1)% are %(type1)%?	How many %(shapeType1)% are %(type1)%?	How many %(shapeType1)% are %(type1)%?	How many %(shapeType1)% are %(type1)%?
%(q2-target-h1)%	"To work through question 2, you must first find the number of %(shapeType2)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeType2)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeType2)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeType2)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeType2)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeType2)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeType2)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeType2)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeType2)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeType2)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeType2)% that are %(type2)%."
%(q2-target-h2)%	How many %(shapeType2)% are %(type2)%?	How many %(shapeType2)% are %(type2)%?	How many %(shapeType2)% are %(type2)%?	How many %(shapeType2)% are %(type2)%?	How many %(shapeType2)% are %(type2)%?	How many %(shapeType2)% are %(type2)%?	How many %(shapeType2)% are %(type2)%?	How many %(shapeType2)% are %(type2)%?	How many %(shapeType2)% are %(type2)%?	How many %(shapeType2)% are %(type2)%?	How many %(shapeType2)% are %(type2)%?
%(q3-target-h1)%	"To work through question 3, you must first find the number of %(shapeType3)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeType3)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeType3)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeType3)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeType3)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeType3)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeType3)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeType3)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeType3)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeType3)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeType3)% that are %(type3)%."
%(q3-target-h2)%	How many %(shapeType3)% are %(type3)%?	How many %(shapeType3)% are %(type3)%?	How many %(shapeType3)% are %(type3)%?	How many %(shapeType3)% are %(type3)%?	How many %(shapeType3)% are %(type3)%?	How many %(shapeType3)% are %(type3)%?	How many %(shapeType3)% are %(type3)%?	How many %(shapeType3)% are %(type3)%?	How many %(shapeType3)% are %(type3)%?	How many %(shapeType3)% are %(type3)%?	How many %(shapeType3)% are %(type3)%?
%(q4-target-h1)%	"To work through question 4, you must first find the number of %(shapeType4)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeType4)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeType4)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeType4)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeType4)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeType4)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeType4)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeType4)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeType4)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeType4)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeType4)% that are %(type4)%."
%(q4-target-h2)%	How many %(shapeType4)% are %(type4)%?	How many %(shapeType4)% are %(type4)%?	How many %(shapeType4)% are %(type4)%?	How many %(shapeType4)% are %(type4)%?	How many %(shapeType4)% are %(type4)%?	How many %(shapeType4)% are %(type4)%?	How many %(shapeType4)% are %(type4)%?	How many %(shapeType4)% are %(type4)%?	How many %(shapeType4)% are %(type4)%?	How many %(shapeType4)% are %(type4)%?	How many %(shapeType4)% are %(type4)%?
											
%(total-h1)%	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.
%(total-h2)%	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?
%(q1-tot-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%
%(q1-tot-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%
%(q2-tot-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%
%(q2-tot-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%
%(q3-tot-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	The next step is to figure out the total number of %(shapeORitem)% that are purple.	%(total-h1)%	%(total-h1)%	The next step is to figure out the total number of %(shapeORitem)% that are circle shaped.	%(total-h1)%	The next step is to figure out the total number of %(shapeORitem)% that are green. 	%(total-h1)%	%(total-h1)%
%(q3-tot-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	What is the total number of %(shapeORitem)% that are purple?	%(total-h2)%	%(total-h2)%	What is the total number of %(shapeORitem)% that are circle shaped?	%(total-h2)%	What is the total number of %(shapeORitem)% that are green?	%(total-h2)%	%(total-h2)%
%(q4-tot-h1)%	%(total-h1)%	%(total-h1)%	The next step is to figure out the total number of %(shapeORitem)% that are blue. 	%(total-h1)%	%(total-h1)%	%(total-h1)%	The next step is to figure out the total number of %(shapeORitem)% that are square shaped. 	The next step is to figure out the total number of %(shapeORitem)% that are square shaped. 	The next step is to figure out the total number of %(shapeORitem)% that are red.	The next step is to figure out the total number of %(shapeORitem)% that are on the right half of the graph.	%(total-h1)%
%(q4-tot-h2)%	%(total-h2)%	%(total-h2)%	What is the total number of %(shapeORitem)% that are blue?	%(total-h2)%	%(total-h2)%	%(total-h2)%	What is the total number of %(shapeORitem)% that are square shaped?	What is the total number of %(shapeORitem)% that are square shaped?	What is the total number of %(shapeORitem)% that are red?	Divide the circle in half. How many  %(shapeORitem)% are on the right half?	%(total-h2)%
											
%(unred-h1)%	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.
%(unred-h2)%	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."
											
%(q1-ratio100-h1)%	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar1)%/%(tot1)% to 100."
%(q1-ratio100-h2)%	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar1)%/%(tot1)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"
%(q1-ratio100-h3)%	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar1)%, and multiply it by 100 and then divide it by %(tot1)%, the original denominator: %(tar1)%*100/%(tot1)%."
%(q2-ratio100-h1)%	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar2)%/%(tot2)% to 100."
%(q2-ratio100-h2)%	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar2)%/%(tot2)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"
%(q2-ratio100-h3)%	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar2)%, and multiply it by 100 and then divide it by %(tot2)%, the original denominator: %(tar2)%*100/%(tot2)%. "
