Problem Name	1	2	3	4	5	6	7	8
%(q4-target-h2)%	How many shapes are red?	How many shapes are not blue?	How many shapes are blue or red?	How many shapes are squares?	How many pieces are blue squares?	How many shapes are not red?	How many shapes are circles?	How many shapes are squares?
								
%(total-h1)%	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of pieces in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.
%(total-h2)%	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of pieces shown?	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of shapes shown?
%(q1-tot-h1)%	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of pieces in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.
%(q1-tot-h2)%	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of pieces shown?	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of shapes shown?
%(q2-tot-h1)%	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of pieces in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.
%(q2-tot-h2)%	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of pieces shown?	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of shapes shown?
%(q3-tot-h1)%	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of pieces in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.
%(q3-tot-h2)%	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of pieces shown?	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of shapes shown?
%(q4-tot-h1)%	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of pieces in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.	The next step is to figure out the total number of shapes in the picture.
%(q4-tot-h2)%	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of pieces shown?	What is the total number of shapes shown?	What is the total number of shapes shown?	What is the total number of shapes shown?
								
%(unred-h1)%	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.
%(unred-h2)%	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."
								
%(q1-ratio100-h1)%	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 100/100 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 1/20 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 5/50 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 10/25 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 7/10 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 38/40 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 2/5 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 3/15 to 100."
%(q1-ratio100-h2)%	"Do you know how to find an equivalent fraction of 100/100 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 1/20 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 5/50 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 10/25 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 7/10 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 38/40 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 2/5 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 3/15 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"
%(q1-ratio100-h3)%	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 100, and multiply it by 100 and then divide it by 100, the original denominator: 100*100/100."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 1, and multiply it by 100 and then divide it by 20, the original denominator: 1*100/20."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 5, and multiply it by 100 and then divide it by 50, the original denominator: 5*100/50."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 10, and multiply it by 100 and then divide it by 25, the original denominator: 10*100/25."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 7, and multiply it by 100 and then divide it by 10, the original denominator: 7*100/10."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 38, and multiply it by 100 and then divide it by 40, the original denominator: 38*100/40."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 2, and multiply it by 100 and then divide it by 5, the original denominator: 2*100/5."	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 3, and multiply it by 100 and then divide it by 15, the original denominator: 3*100/15."
%(q2-ratio100-h1)%	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 20/100 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 8/20 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 25/50 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 5/25 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 9/10 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 14/40 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 1/5 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 6/15 to 100."
%(q2-ratio100-h2)%	"Do you know how to find an equivalent fraction of 20/100 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 8/20 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 25/50 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 5/25 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 9/10 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 14/40 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 1/5 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 6/15 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"
%(q2-ratio100-h3)%	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 20, and multiply it by 100 and then divide it by 100, the original denominator: 20*100/100. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 8, and multiply it by 100 and then divide it by 20, the original denominator: 8*100/20. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 25, and multiply it by 100 and then divide it by 50, the original denominator: 25*100/50. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 5, and multiply it by 100 and then divide it by 25, the original denominator: 5*100/25. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 9, and multiply it by 100 and then divide it by 10, the original denominator: 9*100/10. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 14, and multiply it by 100 and then divide it by 40, the original denominator: 14*100/40. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 1, and multiply it by 100 and then divide it by 5, the original denominator: 1*100/5. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 6, and multiply it by 100 and then divide it by 15, the original denominator: 6*100/15. "
%(q3-ratio100-h1)%	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 60/100 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 5/20 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 45/50 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 20/25 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 4/10 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 9/40 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 4/5 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 12/15 to 100."
%(q3-ratio100-h2)%	"Do you know how to find an equivalent fraction of 60/100 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 5/20 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 45/50 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 20/25 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 4/10 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 9/40 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 4/5 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 12/15 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"
%(q3-ratio100-h3)%	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 60, and multiply it by 100 and then divide it by 100, the original denominator: 60*100/100. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 5, and multiply it by 100 and then divide it by 20, the original denominator: 5*100/20. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 45, and multiply it by 100 and then divide it by 50, the original denominator: 45*100/50. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 20, and multiply it by 100 and then divide it by 25, the original denominator: 20*100/25. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 4, and multiply it by 100 and then divide it by 10, the original denominator: 4*100/10. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 9, and multiply it by 100 and then divide it by 40, the original denominator: 9*100/40. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 4, and multiply it by 100 and then divide it by 5, the original denominator: 4*100/5. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 12, and multiply it by 100 and then divide it by 15, the original denominator: 12*100/15. "
%(q4-ratio100-h1)%	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 5/100 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 15/20 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 35/50 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 15/25 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 1/10 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 26/40 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 3/5 to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 9/15 to 100."
%(q4-ratio100-h2)%	"Do you know how to find an equivalent fraction of 5/100 that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 15/20 that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 35/50 that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 15/25 that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 1/10 that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 26/40 that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 3/5 that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of 9/15 that has denominator of 100? You already know the denominator. Then, what would be its numerator?"
%(q4-ratio100-h3)%	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 5, and multiply it by 100 and then divide it by 100, the original denominator: 5*100/100. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 15, and multiply it by 100 and then divide it by 20, the original denominator: 15*100/20. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 35, and multiply it by 100 and then divide it by 50, the original denominator: 35*100/50. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 15, and multiply it by 100 and then divide it by 25, the original denominator: 15*100/25. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 1, and multiply it by 100 and then divide it by 10, the original denominator: 1*100/10. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 26, and multiply it by 100 and then divide it by 40, the original denominator: 26*100/40. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 3, and multiply it by 100 and then divide it by 5, the original denominator: 3*100/5. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 9, and multiply it by 100 and then divide it by 15, the original denominator: 9*100/15. "
								
%(q1-percent-h1)%	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 100/100. The percent representation is just the numerator of this ratio, 100."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 5/100. The percent representation is just the numerator of this ratio, 5."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 10/100. The percent representation is just the numerator of this ratio, 10."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 40/100. The percent representation is just the numerator of this ratio, 40."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 70/100. The percent representation is just the numerator of this ratio, 70."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 95/100. The percent representation is just the numerator of this ratio, 95."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 40/100. The percent representation is just the numerator of this ratio, 40."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 20/100. The percent representation is just the numerator of this ratio, 20."
%(q1-percent-h2)%	"If the ratio out 100 is 100/100, the percent is its numerator, 100."	"If the ratio out 100 is 5/100, the percent is its numerator, 5."	"If the ratio out 100 is 10/100, the percent is its numerator, 10."	"If the ratio out 100 is 40/100, the percent is its numerator, 40."	"If the ratio out 100 is 70/100, the percent is its numerator, 70."	"If the ratio out 100 is 95/100, the percent is its numerator, 95."	"If the ratio out 100 is 40/100, the percent is its numerator, 40."	"If the ratio out 100 is 20/100, the percent is its numerator, 20."
%(q2-percent-h1)%	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 20/100. The percent representation is just the numerator of this ratio, 20."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 40/100. The percent representation is just the numerator of this ratio, 40."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 50/100. The percent representation is just the numerator of this ratio, 50."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 20/100. The percent representation is just the numerator of this ratio, 20."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 90/100. The percent representation is just the numerator of this ratio, 90."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 35/100. The percent representation is just the numerator of this ratio, 35."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 20/100. The percent representation is just the numerator of this ratio, 20."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 40/100. The percent representation is just the numerator of this ratio, 40."
%(q2-percent-h2)%	"If the ratio out 100 is 20/100, the percent is its numerator, 20."	"If the ratio out 100 is 40/100, the percent is its numerator, 40."	"If the ratio out 100 is 50/100, the percent is its numerator, 50."	"If the ratio out 100 is 20/100, the percent is its numerator, 20."	"If the ratio out 100 is 90/100, the percent is its numerator, 90."	"If the ratio out 100 is 35/100, the percent is its numerator, 35."	"If the ratio out 100 is 20/100, the percent is its numerator, 20."	"If the ratio out 100 is 40/100, the percent is its numerator, 40."
%(q3-percent-h1)%	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 60/100. The percent representation is just the numerator of this ratio, 60."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 25/100. The percent representation is just the numerator of this ratio, 25."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 90/100. The percent representation is just the numerator of this ratio, 90."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 80/100. The percent representation is just the numerator of this ratio, 80."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 40/100. The percent representation is just the numerator of this ratio, 40."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 22.5/100. The percent representation is just the numerator of this ratio, 22.5."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 80/100. The percent representation is just the numerator of this ratio, 80."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 80/100. The percent representation is just the numerator of this ratio, 80."
%(q3-percent-h2)%	"If the ratio out 100 is 60/100, the percent is its numerator, 60."	"If the ratio out 100 is 25/100, the percent is its numerator, 25."	"If the ratio out 100 is 90/100, the percent is its numerator, 90."	"If the ratio out 100 is 80/100, the percent is its numerator, 80."	"If the ratio out 100 is 40/100, the percent is its numerator, 40."	"If the ratio out 100 is 22.5/100, the percent is its numerator, 22.5."	"If the ratio out 100 is 80/100, the percent is its numerator, 80."	"If the ratio out 100 is 80/100, the percent is its numerator, 80."
%(q4-percent-h1)%	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 5/100. The percent representation is just the numerator of this ratio, 5."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 75/100. The percent representation is just the numerator of this ratio, 75."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 70/100. The percent representation is just the numerator of this ratio, 70."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 60/100. The percent representation is just the numerator of this ratio, 60."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 10/100. The percent representation is just the numerator of this ratio, 10."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 65/100. The percent representation is just the numerator of this ratio, 65."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 60/100. The percent representation is just the numerator of this ratio, 60."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 60/100. The percent representation is just the numerator of this ratio, 60."
%(q4-percent-h2)%	"If the ratio out 100 is 5/100, the percent is its numerator, 5."	"If the ratio out 100 is 75/100, the percent is its numerator, 75."	"If the ratio out 100 is 70/100, the percent is its numerator, 70."	"If the ratio out 100 is 60/100, the percent is its numerator, 60."	"If the ratio out 100 is 10/100, the percent is its numerator, 10."	"If the ratio out 100 is 65/100, the percent is its numerator, 65."	"If the ratio out 100 is 60/100, the percent is its numerator, 60."	"If the ratio out 100 is 60/100, the percent is its numerator, 60."
								
